(he1 -0.084)(he2 0)(lae1 0.0516)(lae2 0.1958)(lae3 0.1738)(lae4 0.0221)(rae1 0.0516)(rae2 -0.2267)(rae3 -0.1737)(rae4 -0.0221)(lle1 0.0177)(lle2 0.0029)(lle3 -0.0103)(lle4 0.0736)(lle5 -0.0338)(lle6 -0.0074)(rle1 0.0177)(rle2 -0.0029)(rle3 -0.0323)(rle4 0.106)(rle5 -0.0309)(rle6 0.0074)
(he1 0)(he2 0)(lae1 7.56674)(lae2 -0.2739)(lae3 0)(lae4 0)(rae1 7.56674)(rae2 0.2739)(rae3 0)(rae4 0)(lle1 0.624591)(lle2 0)(lle3 -14.0719)(lle4 15.8179)(lle5 5.89873)(lle6 -0.0380469)(rle1 0.626191)(rle2 0)(rle3 -14.0719)(rle4 15.8195)(rle5 5.90033)(rle6 0.0364469)
(he1 0)(he2 0)(lae1 -7.93154)(lae2 4.585)(lae3 0)(lae4 -8.16)(rae1 -7.93154)(rae2 -4.585)(rae3 0)(rae4 8.16)(lle1 13.4745)(lle2 0)(lle3 -11.0492)(lle4 10.3867)(lle5 8.04894)(lle6 1.11938)(rle1 13.4744)(rle2 0)(rle3 -11.0508)(rle4 10.3866)(rle5 8.04884)(rle6 -1.11928)
(he1 0)(he2 0)(lae1 -8.0833)(lae2 4.3322)(lae3 0)(lae4 -7.65)(rae1 -8.0833)(rae2 -4.3322)(rae3 0)(rae4 7.65)(lle1 12.5553)(lle2 0)(lle3 -10.1164)(lle4 10.2466)(lle5 6.8356)(lle6 1.0534)(rle1 12.5553)(rle2 0)(rle3 -10.1179)(rle4 10.2466)(rle5 6.8356)(rle6 -1.0534)
(he1 0)(he2 0)(lae1 -6.893)(lae2 3.4922)(lae3 0)(lae4 -6.5284)(rae1 -6.893)(rae2 -3.4922)(rae3 0)(rae4 6.5284)(lle1 11.4425)(lle2 0)(lle3 -9.0761)(lle4 9.2765)(lle5 5.7846)(lle6 0.8498)(rle1 11.4409)(rle2 0)(rle3 -9.076)(rle4 9.2765)(rle5 5.7846)(rle6 -0.8482)
(he1 0)(he2 0)(lae1 -5.8414)(lae2 2.7541)(lae3 0)(lae4 -5.4785)(rae1 -5.8414)(rae2 -2.7541)(rae3 0)(rae4 5.4785)(lle1 10.3909)(lle2 0)(lle3 -8.0319)(lle4 8.227)(lle5 4.7377)(lle6 0.6689)(rle1 10.391)(rle2 0)(rle3 -8.0319)(rle4 8.227)(rle5 4.7377)(rle6 -0.669)
(he1 0)(he2 0)(lae1 -4.7899)(lae2 2.1667)(lae3 0)(lae4 -4.4269)(rae1 -4.7899)(rae2 -2.1651)(rae3 0)(rae4 4.4269)(lle1 9.6226)(lle2 0)(lle3 -6.9831)(lle4 7.1781)(lle5 3.7563)(lle6 0.5258)(rle1 9.6226)(rle2 0)(rle3 -6.9831)(rle4 7.1781)(rle5 3.7563)(rle6 -0.5258)
(he1 5.76)(he2 0)(lae1 -3.7912)(lae2 1.7025)(lae3 0)(lae4 -3.4954)(rae1 -3.7912)(rae2 -1.7026)(rae3 0)(rae4 3.4954)(lle1 8.5518)(lle2 0)(lle3 -2.8962)(lle4 -0.2688)(lle5 6.1964)(lle6 0.4139)(rle1 8.5518)(rle2 0)(rle3 -2.8962)(rle4 -0.2688)(rle5 6.1964)(rle6 -0.4139)
(he1 -0.36)(he2 0)(lae1 -2.9796)(lae2 1.3372)(lae3 0)(lae4 -2.7484)(rae1 -2.9796)(rae2 -1.3372)(rae3 0)(rae4 2.7484)(lle1 8.4444)(lle2 0)(lle3 -2.0312)(lle4 -0.9238)(lle5 5.2688)(lle6 0.3255)(rle1 8.4444)(rle2 0)(rle3 -2.0312)(rle4 -0.9238)(rle5 5.2688)(rle6 -0.3255)
(he1 -0.31632)(he2 0)(lae1 -8.11109)(lae2 -1.5731)(lae3 -11.2)(lae4 3.4394)(rae1 -8.11109)(rae2 1.1237)(rae3 11.2)(rae4 -3.4394)(lle1 7.34046)(lle2 -1.57508)(lle3 -1.63803)(lle4 0.262238)(lle5 1.82357)(lle6 1.12069)(rle1 7.30526)(rle2 1.59291)(rle3 -4.48618)(rle4 -2.54266)(rle5 7.44658)(rle6 -1.28901)
(he1 -0.27687)(he2 0)(lae1 -5.22686)(lae2 -1.62543)(lae3 -10.5)(lae4 3.5519)(rae1 -5.22686)(rae2 1.22217)(rae3 10.5)(rae4 -3.5519)(lle1 6.31719)(lle2 -1.6175)(lle3 -3.77427)(lle4 1.81342)(lle5 2.3946)(lle6 0.672405)(rle1 6.28419)(rle2 2.37306)(rle3 -8.05975)(rle4 5.45619)(rle5 3.00879)(rle6 -1.52918)
(he1 -0.26082)(he2 0)(lae1 -3.95641)(lae2 -1.16656)(lae3 -9.3768)(lae4 2.8933)(rae1 -3.95641)(rae2 1.15444)(rae3 9.3752)(rae4 -2.8901)(lle1 5.16741)(lle2 -3.88903)(lle3 2.04652)(lle4 -8.6062)(lle5 6.87984)(lle6 1.92516)(rle1 5.13601)(rle2 1.04037)(rle3 -3.77275)(rle4 0.216377)(rle5 4.09051)(rle6 0.11566)
(he1 -0.24654)(he2 0)(lae1 -3.24403)(lae2 -0.678402)(lae3 -8.3222)(lae4 2.2829)(rae1 -3.24403)(rae2 1.152)(rae3 8.3207)(rae4 -2.2799)(lle1 2.75311)(lle2 -2.86124)(lle3 -2.451)(lle4 -7.10557)(lle5 8.31852)(lle6 0.940607)(rle1 2.72161)(rle2 0.157858)(rle3 -2.39746)(rle4 -1.03027)(rle5 2.6112)(rle6 0.716497)
(he1 -0.2331)(he2 0)(lae1 -2.82968)(lae2 -0.473311)(lae3 -7.2693)(lae4 1.7971)(rae1 -2.82968)(rae2 0.965689)(rae3 7.2662)(rae4 -1.7909)(lle1 1.01778)(lle2 -1.93648)(lle3 -6.76898)(lle4 2.034)(lle5 3.14643)(lle6 -0.517617)(rle1 0.994284)(rle2 0.69886)(rle3 -1.56025)(rle4 -1.29196)(rle5 1.40221)(rle6 -0.110627)
